id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
8811,cuvsinu,cuvsinu,𐌂𐌖𐌅𐌔𐌉𐌍𐌖,cuvsinu,,,,1.000,clean,dfde759d2adf,1
707,cesu,cesu,𐌂𐌄𐌔𐌖,cesu,,,,1.000,clean,afd6a3cdd042,2
8823,senuta,senuta,𐌔𐌄𐌍𐌖𐌕𐌀,senuta,,,,1.000,clean,6de25129ebb7,1
8827,amina----------s,amina----------s,𐌀𐌌𐌉𐌍𐌀----------𐌔,,mr-aminamr-puplies,,,0.000,clean,a1dfc8b590b0,1
8834,acep,acep,𐌀𐌂𐌄𐌐,acep,acep,,,1.000,clean,3620f0a87c65,1
8837,perpnies,perpnies,𐌐𐌄𐌓𐌐𐌍𐌉𐌄𐌔,perpnies,mr-perpnies,,,1.000,clean,e06606f57319,1
8838,kane,kane,𐌊𐌀𐌍𐌄,kane,,,,1.000,clean,f57dbb83bc83,1
8844,th------calesias,θ------calesias,𐌈------𐌂𐌀𐌋𐌄𐌔𐌉𐌀𐌔,,,,,0.000,clean,d818db5ff056,1
8884,menrva,menrva,𐌌𐌄𐌍𐌓𐌅𐌀,menrva,thegoddessthesan,,,1.000,clean,ba57cf03d1b1,5
15266,sepeslsa,sepeslsa,𐌔𐌄𐌐𐌄𐌔𐌋𐌔𐌀,sepeslsa,,,,1.000,clean,f0ad9d335c02,1
CIE 2675,VAI:AMΘI:PETINATIAL,VAI:AMΘI:PETINATIAL,,VAI AMΘI PETINATIAL,,,,1.000,clean,3b1c8e43ed13,1
CIE 2679,ZIRAZDANAMA:VIZIA,ZIRAZDANAMA:VIZIA,,ZIRAZDANAMA VIZIA,,,,1.000,clean,5ee7c3f1c5fb,1
CIE 2680,AMIMVDV:AZEI1ZI:AMIMZNI,AMIMVDV:AZEI1ZI:AMIMZNI,,,,,,0.000,ocr_failed,5885a97925f8,1
CIE 2681,A2A1T3A2:V2:AHEM39:J7,A2A1T3A2:V2:AHEM39:J7,,,,,,0.000,ocr_failed,30ab0c61995b,1
8948,------archarsk------,------arχarsk------,------𐌀𐌓𐌙𐌀𐌓𐌔𐌊------,,,,,0.000,clean,42f64427a6db,1
8955,lemiveneluszucenas,lemiveneluszucenas,𐌋𐌄𐌌𐌉𐌅𐌄𐌍𐌄𐌋𐌖𐌔𐌆𐌖𐌂𐌄𐌍𐌀𐌔,lemiveneluszucenas,,,,1.000,clean,4b0ecef3cdce,1
8964,fimaca,fimaca,𐌚𐌉𐌌𐌀𐌂𐌀,fimaca,thesatyrseduction,,,1.000,clean,5af18580ccf3,1
8980,umni,umni,𐌖𐌌𐌍𐌉,umni,,,,1.000,clean,923ea1e7dff0,1
8989,mipupaisthinakaranas,mipupaisθinakaranas,𐌌𐌉𐌐𐌖𐌐𐌀𐌉𐌔𐌈𐌉𐌍𐌀𐌊𐌀𐌓𐌀𐌍𐌀𐌔,mipupaisθinakaranas,,,,1.000,clean,cacc5e617bd3,1
8990,----pupaiaskalkanasthina,----pupaiaskalkanasθina,----𐌐𐌖𐌐𐌀𐌉𐌀𐌔𐌊𐌀𐌋𐌊𐌀𐌍𐌀𐌔𐌈𐌉𐌍𐌀,,imr-pupaiasof-mr-kalkanaa-big-roundgoblet,,,0.000,clean,afdda763fe41,1
8994,lri,lri,𐌋𐌓𐌉,lri,,,,1.000,clean,4b929e9fc120,1
8998,ranaza,ranaza,𐌓𐌀𐌍𐌀𐌆𐌀,ranaza,,,,1.000,clean,4d69a591509e,1
CIE 2683,A2AHM:M:39:A1QVTAJ72:AHA0,A2AHM:M:39:A1QVTAJ72:AHA0,,,,,,0.000,ocr_failed,127314b2f16c,1
CIE 2685,JAIN1KAJ EHEM39 AHA0,JAIN1KAJ EHEM39 AHA0,,,,,,0.000,ocr_failed,700af283c127,1
9154,larthmenznas,larθmenznas,𐌋𐌀𐌓𐌈𐌌𐌄𐌍𐌆𐌍𐌀𐌔,larθmenznas,,,,1.000,clean,626875d21aeb,1
9155,venezesial,venezesial,𐌅𐌄𐌍𐌄𐌆𐌄𐌔𐌉𐌀𐌋,venezesial,,,,1.000,clean,c298908c51a4,1
9157,arnttheal,arntθeal,𐌀𐌓𐌍𐌕𐌈𐌄𐌀𐌋,arntθeal,,,,1.000,clean,a703b23b3f80,1
9164,cii,cii,𐌂𐌉𐌉,cii,,,,1.000,clean,31c12e95826e,1
9176,milarthia,milarθia,𐌌𐌉𐌋𐌀𐌓𐌈𐌉𐌀,milarθia,,,,1.000,clean,3b826efd2df0,1
9178,ep,ep,𐌄𐌐,ep,,,,1.000,clean,0e26f370b562,1
9185,mive,mive,𐌌𐌉𐌅𐌄,mive,imr-little-little-vel,,,1.000,clean,86bed7b7445f,1
9208,tupltia,tupltia,𐌕𐌖𐌐𐌋𐌕𐌉𐌀,tupltia,,,,1.000,clean,4bf471d3c324,1
9211,--theralavt,--θeralavt,--𐌈𐌄𐌓𐌀𐌋𐌀𐌅𐌕,,freedgirlslavegirl,,,0.000,clean,8e86c70fc315,1
9220,mimukisrapanai,mimukisrapanai,𐌌𐌉𐌌𐌖𐌊𐌉𐌔𐌓𐌀𐌐𐌀𐌍𐌀𐌉,mimukisrapanai,imr-mukiesmrsrapanais,,,1.000,clean,efdca58e2829,1
9221,mispural,mispural,𐌌𐌉𐌔𐌐𐌖𐌓𐌀𐌋,mispural,,,,1.000,clean,7b645b38f844,1
9224,kril,kril,𐌊𐌓𐌉𐌋,kril,,,,1.000,clean,3dc5eda33a5f,1
9227,tusnutnie,tusnutnie,𐌕𐌖𐌔𐌍𐌖𐌕𐌍𐌉𐌄,tusnutnie,,,,1.000,clean,ee5c1795b6e5,1
CIE 2686,MA1R1AM:ANEM39:109A],MA1R1AM:ANEM39:109A],,,,,,0.000,ocr_failed,1b4069b25796,1
CIE 2687,JA1[10]9A]:1NEM39:J1,JA1[10]9A]:1NEM39:J1,,,,,,0.000,ocr_failed,eef924001ef3,1
CIE 2688,remne,remne,𐌓𐌄𐌌𐌍𐌄,remne,,,,1.000,clean,1bcef86300dd,1
CIE 2689,ENM9A,ENM9A,,,,,,0.000,ocr_failed,7d0f94d42b44,1
CIE 2690,qR·renxie,qR·renxie,𐌒𐌓·𐌓𐌄𐌍𐌗𐌉𐌄,qR renxie,,,,1.000,clean,b22fe22449c7,1
9253,mimalenalarthiapurufenas,mimalenalarθiapurufenas,𐌌𐌉𐌌𐌀𐌋𐌄𐌍𐌀𐌋𐌀𐌓𐌈𐌉𐌀𐌐𐌖𐌓𐌖𐌚𐌄𐌍𐌀𐌔,mimalenalarθiapurufenas,,,,1.000,clean,be585f8c5671,1
9257,suthina,suθina,𐌔𐌖𐌈𐌉𐌍𐌀,suθina,,,,1.000,clean,2a656a7a6521,7
9260,tnes,tnes,𐌕𐌍𐌄𐌔,tnes,mr-vesistnes,,,1.000,clean,c3381760a723,1
9261,trskmetr,trskmetr,𐌕𐌓𐌔𐌊𐌌𐌄𐌕𐌓,trskmetr,an-etruscanwine-jug-ofthe-standardised-capacity-of-litres,,,1.000,clean,b4ec629ede5b,1
9267,frenvpznvi,frenvpznvi,𐌚𐌓𐌄𐌍𐌅𐌐𐌆𐌍𐌅𐌉,frenvpznvi,imr-laris,,,1.000,clean,ce429afc6905,1
9313,velsu,velsu,𐌅𐌄𐌋𐌔𐌖,velsu,the-town-of-bolsena,,,1.000,clean,e634c0776836,1
9314,velznani,velznani,𐌅𐌄𐌋𐌆𐌍𐌀𐌍𐌉,velznani,,,,1.000,clean,c871eace5b2d,1
CIE 2691,renxiels:puia,renxiels:puia,𐌓𐌄𐌍𐌗𐌉𐌄𐌋𐌔:𐌐𐌖𐌉𐌀,renxiels puia,,,,1.000,clean,1251eccafb83,1
CIE 2692,larθia:resui:θi,larθia:resui:θi,𐌋𐌀𐌓𐌈𐌉𐌀:𐌓𐌄𐌔𐌖𐌉:𐌈𐌉,larθia resui θi,,,,1.000,clean,3197b5002734,1
CIE 2693,AVLI·RIIVSTI·MVNAINAL,AVLI·RIIVSTI·MVNAINAL,,AVLI RIIVSTI MVNAINAL,,,,1.000,clean,1b64ea503626,1
CIE 2696,velia·lavtnit·rus,velia·lavtnit·rus,𐌅𐌄𐌋𐌉𐌀·𐌋𐌀𐌅𐌕𐌍𐌉𐌕·𐌓𐌖𐌔,velia lavtnit rus,,,,1.000,clean,136df1d67a46,1
9359,velusna,velusna,𐌅𐌄𐌋𐌖𐌔𐌍𐌀,velusna,,,,1.000,clean,88a24eec35f4,1
9433,erzeana,erzeana,𐌄𐌓𐌆𐌄𐌀𐌍𐌀,erzeana,,,,1.000,clean,ec20a842695d,1
9443,vetpz,vetpz,𐌅𐌄𐌕𐌐𐌆,vetpz,,,,1.000,clean,09b8d061f147,1
9473,mikarkanaspanti,mikarkanaspanti,𐌌𐌉𐌊𐌀𐌓𐌊𐌀𐌍𐌀𐌔𐌐𐌀𐌍𐌕𐌉,mikarkanaspanti,,,,1.000,clean,b9976686a6b4,1
9475,mitechas,miteχas,𐌌𐌉𐌕𐌄𐌙𐌀𐌔,miteχas,,,,1.000,clean,9b5d15775c02,1
9486,precu,precu,𐌐𐌓𐌄𐌂𐌖,precu,,,,1.000,clean,f62ef2dd1b54,1
9487,velnumnal,velnumnal,𐌅𐌄𐌋𐌍𐌖𐌌𐌍𐌀𐌋,velnumnal,,,,1.000,clean,063c3cfc9878,1
9496,atranesi,atranesi,𐌀𐌕𐌓𐌀𐌍𐌄𐌔𐌉,atranesi,,,,1.000,clean,f6f65d085234,2
9516,tefa,tefa,𐌕𐌄𐌚𐌀,tefa,mr-tefarie,,,1.000,clean,02189d3a4a65,1
9518,atranesi,atranesi,𐌀𐌕𐌓𐌀𐌍𐌄𐌔𐌉,atranesi,for-mr-atrane,,,1.000,clean,f6f65d085234,2
9522,zinas,zinas,𐌆𐌉𐌍𐌀𐌔,zinas,,,,1.000,clean,cf92983feefc,1
9527,scornia,scornia,𐌔𐌂𐌏𐌓𐌍𐌉𐌀,scornia,mrs-scornia,,,1.000,clean,a0e421ed1e64,1
9656,keina,keina,𐌊𐌄𐌉𐌍𐌀,keina,,,,1.000,clean,35e692ce8438,1
CIE 2698,rutia:velvaesa,rutia:velvaesa,𐌓𐌖𐌕𐌉𐌀:𐌅𐌄𐌋𐌅𐌀𐌄𐌔𐌀,rutia velvaesa,,,,1.000,clean,40d76e749609,2
CIE 2699,rutia:larisal:velvaes,rutia:larisal:velvaes,𐌓𐌖𐌕𐌉𐌀:𐌋𐌀𐌓𐌉𐌔𐌀𐌋:𐌅𐌄𐌋𐌅𐌀𐌄𐌔,rutia larisal velvaes,,,,1.000,clean,13615e7afa86,1
CIE 270,𐌉𐌅𐌀 𐌄𐌕𐌖𐌓𐌉𐌔𐌉𐌍𐌀𐌋 𐌋𐌀𐌏𐌉𐌀,a lecne vuisinal arθral,𐌀 𐌋𐌄𐌂𐌍𐌄 𐌅𐌖𐌉𐌔𐌉𐌍𐌀𐌋 𐌀𐌓𐌈𐌓𐌀𐌋,a lecne vuisinal arθral,,,,1.000,clean,40097ddb132b,1
14804,lartpetraulesa,lartpetraulesa,𐌋𐌀𐌓𐌕𐌐𐌄𐌕𐌓𐌀𐌖𐌋𐌄𐌔𐌀,lartpetraulesa,,,,1.000,clean,cf7933b3719c,1
CIE 2700,Ruti:Thana|Lar-ti,Ruti:Thana|Lar-ti,,Ruti Thana,,,,0.667,clean,4286cead72d7,1
CIE 2702,hasti:salvinei:veliesa,hasti:salvinei:veliesa,𐌇𐌀𐌔𐌕𐌉:𐌔𐌀𐌋𐌅𐌉𐌍𐌄𐌉:𐌅𐌄𐌋𐌉𐌄𐌔𐌀,hasti salvinei veliesa,,,,1.000,clean,1a2232ffcf29,1
9815,minispuriazamuluvanikekuritianas,minispuriazamuluvanikekuritianas,𐌌𐌉𐌍𐌉𐌔𐌐𐌖𐌓𐌉𐌀𐌆𐌀𐌌𐌖𐌋𐌖𐌅𐌀𐌍𐌉𐌊𐌄𐌊𐌖𐌓𐌉𐌕𐌉𐌀𐌍𐌀𐌔,minispuriazamuluvanikekuritianas,,,,1.000,clean,6fdb7b354910,1
9822,misukerus,misukerus,𐌌𐌉𐌔𐌖𐌊𐌄𐌓𐌖𐌔,misukerus,imr-sukerus,,,1.000,clean,fd43d9ae422a,1
9827,------etanturuce,------etanturuce,------𐌄𐌕𐌀𐌍𐌕𐌖𐌓𐌖𐌂𐌄,,,,,0.000,clean,007c58179424,1
9834,--ilarthia--------------,--ilarθia--------------,--𐌉𐌋𐌀𐌓𐌈𐌉𐌀--------------,,,,,0.000,clean,7353a99687cf,1
9880,chch,χχ,𐌙𐌙,χχ,mr-chaemr-chaes,,,1.000,clean,46e7c2fbc5a7,2
9888,vesthle,vesθle,𐌅𐌄𐌔𐌈𐌋𐌄,vesθle,mr-vesthle,,,1.000,clean,d786e77fb9e3,1
9889,scana,scana,𐌔𐌂𐌀𐌍𐌀,scana,,,,1.000,clean,841af9808896,1
9893,mivelthuruskanaius,mivelθuruskanaius,𐌌𐌉𐌅𐌄𐌋𐌈𐌖𐌓𐌖𐌔𐌊𐌀𐌍𐌀𐌉𐌖𐌔,mivelθuruskanaius,imr-velthurkunaius,,,1.000,clean,55b21554e225,1
9903,kreniasi,kreniasi,𐌊𐌓𐌄𐌍𐌉𐌀𐌔𐌉,kreniasi,,,,1.000,clean,e23ae90535ec,1
9904,f s r s ch,f s r s χ,𐌚 𐌔 𐌓 𐌔 𐌙,f s r s χ,,,,1.000,clean,7c480eca2015,1
CIE 2703,a:sali:se,a:sali:se,𐌀:𐌔𐌀𐌋𐌉:𐌔𐌄,a sali se,,,,1.000,clean,36ca755a869e,1
CIE 2704,salie,salie,𐌔𐌀𐌋𐌉𐌄,salie,,,,1.000,clean,7d7fd528fea0,2
2136,velsi(al) seitithial(isasa),velsi(al) seitiθial(isasa),𐌅𐌄𐌋𐌔𐌉(𐌀𐌋) 𐌔𐌄𐌉𐌕𐌉𐌈𐌉𐌀𐌋(𐌉𐌔𐌀𐌔𐌀),,,,,0.000,clean,086be3e3e1fa,1
9953,achule,aχule,𐌀𐌙𐌖𐌋𐌄,aχule,theheroakhilleus,,,1.000,clean,7d3c1737ebf1,1
9963,kailes,kailes,𐌊𐌀𐌉𐌋𐌄𐌔,kailes,,,,1.000,clean,21ead27a8686,1
9993,uv,uv,𐌖𐌅,uv,,,,1.000,clean,e6184ce10e26,1
10162,mp,mp,𐌌𐌐,mp,i-myself,,,1.000,clean,68dbf73d03d3,1
10163,------naszinac------,------naszinac------,------𐌍𐌀𐌔𐌆𐌉𐌍𐌀𐌂------,,,,,0.000,clean,b99c7095deac,1
10174,mnie,mnie,𐌌𐌍𐌉𐌄,mnie,me,,,1.000,clean,737e92c9ff68,1
10177,tiniia,tiniia,𐌕𐌉𐌍𐌉𐌉𐌀,tiniia,,,,1.000,clean,2849d327b45e,1
10186,larcnas,larcnas,𐌋𐌀𐌓𐌂𐌍𐌀𐌔,larcnas,,,,1.000,clean,7f9514fba224,2
10199,kastur,kastur,𐌊𐌀𐌔𐌕𐌖𐌓,kastur,thegodpollux,,,1.000,clean,6e891d182d17,1
10200,evru,evru,𐌄𐌅𐌓𐌖,evru,,,,1.000,clean,d1b97b9c0184,1
10201,velparun,velparun,𐌅𐌄𐌋𐌐𐌀𐌓𐌖𐌍,velparun,,,,1.000,clean,e6d3fee442bd,2
2154,v(e)l(ia) velusnei(al),v(e)l(ia) velusnei(al),𐌅(𐌄)𐌋(𐌉𐌀) 𐌅𐌄𐌋𐌖𐌔𐌍𐌄𐌉(𐌀𐌋),,,,,0.000,clean,24581609ec6b,1
2155,arnth cisvitn(i)al,arnθ cisvitn(i)al,𐌀𐌓𐌍𐌈 𐌂𐌉𐌔𐌅𐌉𐌕𐌍(𐌉)𐌀𐌋,arnθ,mr-arnthvenatemr-cicvitnes,,,0.500,clean,d362d31b389b,1
2156,pucsina,pucsina,𐌐𐌖𐌂𐌔𐌉𐌍𐌀,pucsina,,,,1.000,clean,e6b2b2df2c1a,1
2157,lathrthipucsin,laθrθipucsin,𐌋𐌀𐌈𐌓𐌈𐌉𐌐𐌖𐌂𐌔𐌉𐌍,laθrθipucsin,mrs-larthimrs-pucsineis,,,1.000,clean,21eaa11cecc3,1
2180,felesa,felesa,𐌚𐌄𐌋𐌄𐌔𐌀,felesa,mrs-vetinei,,,1.000,clean,a3910a5d2ed0,2
2181,--------vetinei,--------vetinei,--------𐌅𐌄𐌕𐌉𐌍𐌄𐌉,,,,,0.000,clean,1f400fc31d2e,1
2197,anasis,anasis,𐌀𐌍𐌀𐌔𐌉𐌔,anasis,,,,1.000,clean,ee028db1faf0,1
6743,atr(enas),atr(enas),𐌀𐌕𐌓(𐌄𐌍𐌀𐌔),,,,,0.000,clean,86b1cf94a807,1
10242,ve--a,ve--a,𐌅𐌄--𐌀,,,,,0.000,clean,e6439c877743,1
